Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12,Temperature (°C)
1743710985576401,9,8,9,8,6,8,9,7,7,7,7,7,28.11
1743710985603161,21,9,8,7,7,7,6,6,8,7,7,9,27.96
1743710985628995,10,7,7,8,8,7,7,8,9,9,8,7,27.91
1743710985655891,9,7,8,7,7,7,8,8,7,8,7,6,28.0
1743710985683288,8,7,5,7,8,7,7,7,7,7,7,8,28.11
1743710985709958,6,8,6,7,7,8,7,7,8,6,9,7,27.8
1743710985737185,10,7,8,7,7,8,8,8,6,8,7,8,28.13
1743710985763617,11,8,7,7,7,8,8,7,7,7,8,6,28.29
1743710985791059,10,9,5,10,6,7,8,8,9,7,6,6,28.25
1743710985817875,8,7,8,6,8,7,7,8,7,8,7,7,28.2
1743710985844780,8,7,7,7,7,6,9,12,8,6,11,10,28.27
1743710985871859,9,7,8,6,8,8,6,7,7,7,8,8,28.0
1743710985898969,8,7,7,7,7,8,6,8,12,7,7,8,28.42
1743710985925261,6,8,7,4,7,8,7,7,7,7,7,6,28.18
1743710985953427,8,7,4,7,8,7,7,9,7,6,5,7,27.86
1743710985979474,9,7,7,7,7,6,6,7,9,8,7,8,27.57
1743710986006998,9,6,8,7,8,7,8,7,7,9,4,7,27.71
1743710986033857,9,7,8,7,7,7,3,6,6,8,6,7,27.17
1743710986060368,8,8,8,9,8,8,7,6,8,7,6,8,26.53
1743710986086927,9,7,8,8,9,8,7,6,7,8,8,7,26.62
1743710986113856,9,6,7,7,8,7,4,8,8,9,8,7,26.58
1743710986141018,10,9,8,7,8,5,7,6,8,7,8,7,26.5
1743710986168154,9,8,7,7,7,7,8,7,8,7,8,7,26.55
1743710986194235,17,7,7,6,7,7,8,7,7,7,7,4,26.48
1743710986221477,5,7,6,7,8,9,6,7,7,7,7,7,26.5
1743710986248417,8,6,3,7,9,10,7,7,10,7,8,7,26.5
1743710986274785,15,7,7,7,7,5,7,8,7,8,8,8,26.5
1743710986303352,8,7,7,9,7,8,6,8,6,7,8,8,26.3
