Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12
1743705642155539,3,0,2,0,4,3,0,3,1,4,3,2
1743705642167096,2,3,0,4,2,1,5,2,0,2,0,0
1743705642179097,2,0,0,1,17,5,1,0,1,0,3,0
1743705642192094,7,2,3,5,3,9,3,0,3,2,4,2
1743705642204243,4,6,4,4,0,5,19,3,4,5,3,4
1743705642215869,6,4,3,3,4,0,3,0,4,3,0,1
1743705642227870,4,3,3,1,3,3,0,4,1,0,0,0
1743705642240395,5,3,0,4,4,2,8,1,4,4,0,4
1743705642251944,3,4,3,7,0,2,0,3,3,4,2,0
1743705642263591,8,3,4,2,0,4,2,4,0,6,2,3
1743705642275597,8,0,4,0,4,1,3,2,1,0,3,0
1743705642287656,7,4,2,0,4,3,2,3,0,4,2,5
1743705642299720,6,5,1,0,5,2,4,18,0,2,18,4
1743705642312053,7,3,0,1,0,3,6,3,4,2,2,0
1743705642324544,7,3,3,2,7,15,2,0,1,4,3,1
1743705642337734,7,2,1,1,1,0,2,2,3,0,4,0
1743705642350017,5,2,0,4,2,4,2,5,2,4,4,0
1743705642362205,3,3,3,4,4,2,6,1,2,1,2,0
1743705642375216,6,0,3,4,2,0,4,2,0,3,3,4
1743705642387521,7,3,1,3,0,3,0,0,5,2,2,0
1743705642399637,2,4,1,4,0,3,0,0,2,2,0,2
1743705642411879,5,1,2,0,3,4,0,2,0,3,3,0
